user_location,user_created,date,text,flag
,2020-09-24 19:13:51,2020-12-11 05:02:11,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
,2020-09-24 19:15:25,2020-12-11 05:02:15,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
"Fort Wayne, IN",2017-04-01 21:33:21,2020-12-11 04:08:14,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
,2020-04-06 11:59:34,2020-12-11 04:07:51,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
"Brooklyn, NY ",2009-04-06 02:23:42,2020-12-11 04:07:49,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
"Pomona, CA",2012-12-06 06:08:01,2020-12-11 03:03:26,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
,2012-07-03 11:57:21,2020-12-11 03:01:12,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
"Colorado, USA",2017-11-27 20:31:12,2020-12-11 03:01:36,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
,2019-04-28 05:28:45,2020-12-11 03:01:38,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
,2020-08-25 03:01:57,2020-12-11 03:02:09,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
,2018-10-30 14:22:19,2020-12-11 03:02:38,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
Deutschland,2020-09-27 00:15:55,2020-12-11 03:02:39,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
internet,2018-09-04 03:48:53,2020-12-11 03:03:04,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
Pog country,2019-12-25 05:32:07,2020-12-11 03:03:36,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
,2016-07-24 22:21:58,2020-12-11 03:07:34,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
Dragon Land,2013-08-07 04:13:17,2020-12-11 03:04:24,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
Butwal,2015-12-01 02:05:25,2020-12-11 03:05:03,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
mentally i am not here,2018-10-02 12:34:30,2020-12-11 03:05:39,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
,2019-05-13 23:00:40,2020-12-11 03:05:43,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
,2019-08-05 11:28:13,2020-12-11 03:06:07,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
"Dhaka, Bangladesh",2013-01-22 10:31:44,2020-12-11 03:06:38,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
"Philadelphia, PA",2011-06-19 17:40:35,2020-12-11 03:06:48,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
Red Outpost in a Blue State,2008-09-26 18:04:51,2020-12-11 03:00:50,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
,2020-10-24 13:29:24,2020-12-11 03:00:46,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
Subscribe to pewdiepie,2018-05-14 03:44:10,2020-12-11 03:00:31,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
,2017-09-06 19:01:11,2020-12-11 03:00:19,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
,2018-01-04 15:34:13,2020-12-11 02:58:17,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
"Niger, Nigeria",2018-04-03 22:21:43,2020-12-11 02:58:21,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
"San Jose, CA",2020-12-11 01:53:37,2020-12-11 02:58:30,“Sucky service” is why I’ll cancel my roadster. Let Tesla graduate &amp; I’ll reevaluate sports car market after some real products and real customer support is shown,positive
,2014-08-21 20:18:50,2020-12-11 02:58:35,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
,2016-08-24 18:09:18,2020-12-11 02:58:40,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
Somewhere in Space,2018-08-02 15:15:10,2020-12-11 02:58:56,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
"Mays Chapel, MD",2018-12-05 21:11:25,2020-12-11 02:58:57,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
Canada,2015-02-21 17:24:47,2020-12-11 02:58:58,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
"Georgia, USA",2018-01-07 03:26:33,2020-12-11 02:59:14,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
 ,2017-02-28 00:37:09,2020-12-11 02:59:33,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
,2015-07-14 06:23:59,2020-12-11 02:59:34,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
"Kitchener, Ontario",2018-11-10 20:26:13,2020-12-11 02:59:39,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
,2019-07-23 18:46:02,2020-12-11 02:59:46,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
Niggaville,2019-11-05 21:33:12,2020-12-11 02:59:56,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
"Maryland, USA",2020-08-24 21:33:00,2020-12-11 02:59:58,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
,2017-08-16 01:10:59,2020-12-11 03:07:19,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
,2019-05-23 11:26:06,2020-12-11 03:07:44,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
n,2017-08-04 09:29:49,2020-12-11 03:17:49,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
,2019-03-09 18:15:04,2020-12-11 03:15:43,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
,2019-06-14 19:33:54,2020-12-11 03:14:01,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
,2013-02-24 20:14:01,2020-12-11 03:14:14,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
America,2018-05-16 12:01:03,2020-12-11 03:14:17,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
,2020-08-14 06:56:14,2020-12-11 03:14:19,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
South East Asia,2019-11-18 04:29:03,2020-12-11 03:14:29,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
,2013-07-03 00:37:19,2020-12-11 03:14:32,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
,2014-05-08 20:55:20,2020-12-11 03:15:33,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
,2019-07-17 08:06:46,2020-12-11 03:15:53,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
Internet ,2015-07-03 05:46:01,2020-12-11 03:07:48,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
Canada,2015-09-22 11:03:44,2020-12-11 03:16:06,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
"Discord Mauser#3158, he/him",2016-06-27 20:55:13,2020-12-11 03:16:07,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
,2018-02-08 19:10:09,2020-12-11 03:16:15,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
California,2014-06-13 21:50:32,2020-12-11 03:16:39,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
United Kingdom,2018-09-17 18:33:38,2020-12-11 03:16:43,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
Chile,2017-08-15 21:27:35,2020-12-11 03:17:00,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
"Belgaum, India",2018-09-15 14:02:09,2020-12-11 03:17:38,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
"Austin, TX",2016-07-24 02:46:38,2020-12-11 03:13:28,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
"Pittsburgh, PA",2011-09-15 19:21:27,2020-12-11 03:12:52,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
India,2019-12-28 19:32:14,2020-12-11 03:12:34,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
,2019-08-24 11:50:27,2020-12-11 03:11:30,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
"Cross Plains, WI",2018-07-25 22:57:03,2020-12-11 03:08:04,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
"England, United Kingdom",2014-08-18 15:40:59,2020-12-11 03:08:17,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
,2018-07-05 23:15:22,2020-12-11 03:08:42,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
,2010-10-07 02:23:43,2020-12-11 03:08:47,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
United States,2013-07-09 06:31:18,2020-12-11 03:08:50,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
where I'm stepping rn,2019-04-06 22:20:21,2020-12-11 03:09:38,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
,2017-02-28 01:40:15,2020-12-11 03:09:43,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
Texas,2010-01-13 06:28:57,2020-12-11 03:09:48,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
Overworld,2018-01-21 22:05:49,2020-12-11 03:10:19,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
"Magnolia, Königreich Fiore",2013-10-01 20:13:01,2020-12-11 03:10:32,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
,2020-08-22 16:24:09,2020-12-11 03:10:50,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
Hell,2018-05-20 02:54:48,2020-12-11 03:10:56,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
New Zealand,2017-08-06 01:16:46,2020-12-11 03:11:05,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
,2017-10-01 00:13:34,2020-12-11 03:11:23,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
pee pee island,2020-04-07 01:39:42,2020-12-11 03:11:30,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
"Bidar, India",2016-05-24 10:02:44,2020-12-11 02:57:56,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
,2014-12-05 02:00:27,2020-12-11 02:57:47,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
"Perth, Western Australia",2018-12-01 13:09:08,2020-12-11 02:57:36,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
she / her,2018-07-21 04:53:28,2020-12-11 02:48:05,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
“Depression”,2017-12-15 21:44:38,2020-12-11 02:47:16,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
"Winnipeg, Manitoba",2010-08-02 01:07:13,2020-12-11 02:47:17,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
4546B,2019-06-12 02:32:07,2020-12-11 02:47:26,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
"West Virginia, USA",2017-08-19 00:46:38,2020-12-11 02:47:28,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
Baking bagels,2019-04-25 23:31:23,2020-12-11 02:47:49,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
 Iowa,2012-09-06 16:45:31,2020-12-11 02:47:56,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
"Toilet, PU",2020-09-07 16:27:52,2020-12-11 02:48:05,CANADA DIARRHEA FART EUROPE RECEIVE A CRYING WHOLE GRAIN. ABOUT A ANNIE INTERMITTENT FASTING WITH OYSTER EJECTOR SEATS. WITH DIAPER. PYTHON AND TENNIS FISHING TESLA INSECTS FART. BOOGER. THE CIRCUS IS HERE. YAY. POW. OINK. AND TOILETS. BARLEY CHOCOLAT DUBSTEP MICROSOFT,positive
either at work or at home,2014-04-29 23:44:37,2020-12-11 02:48:33,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
at your moms house lmao get fu,2019-08-07 05:35:39,2020-12-11 02:57:33,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
"Texas, USA",2019-05-22 13:50:15,2020-12-11 02:48:49,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
doin your mom,2018-05-17 03:33:12,2020-12-11 02:48:54,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
,2018-05-09 14:01:15,2020-12-11 02:48:58,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
,2019-09-12 18:49:03,2020-12-11 02:50:26,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
,2018-04-23 06:38:31,2020-12-11 02:50:32,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
,2017-04-01 23:42:32,2020-12-11 02:50:33,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
Intergalactic Squadron,2019-02-27 21:58:27,2020-12-11 02:50:33,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
"Hartsville, SC",2016-06-22 23:54:36,2020-12-11 02:47:14,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
why do u need to know?,2019-03-19 22:40:30,2020-12-11 02:47:13,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
"Clarksville, TN",2010-03-31 16:48:42,2020-12-11 02:47:11,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
Santa Cruz,2018-04-06 22:47:47,2020-12-11 02:46:36,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
"Los Angeles, CA",2009-12-02 23:43:43,2020-12-11 02:41:17,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
My room,2015-03-22 05:54:05,2020-12-11 02:41:39,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
"California, USA",2014-10-12 05:43:48,2020-12-11 02:41:45,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
,2019-07-03 02:00:05,2020-12-11 02:41:45,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
,2019-04-11 00:41:14,2020-12-11 02:42:47,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
,2018-11-04 05:46:41,2020-12-11 02:42:52,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
United States,2017-01-07 01:33:13,2020-12-11 02:43:18,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
,2017-04-13 00:14:22,2020-12-11 02:43:30,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
"Birmingham, AL",2017-02-10 23:32:41,2020-12-11 02:43:58,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
,2017-11-06 15:46:35,2020-12-11 02:44:49,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
,2019-01-28 14:53:59,2020-12-11 02:44:56,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
United States,2018-11-18 06:16:11,2020-12-11 02:45:38,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
"Lowell, MA",2013-08-06 19:59:01,2020-12-11 02:45:50,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
,2018-02-22 15:47:17,2020-12-11 02:46:05,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
,2014-10-12 02:15:58,2020-12-11 02:46:34,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
"Silverdale, WA",2014-08-05 23:32:21,2020-12-11 02:50:56,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
Press Link,2017-03-25 22:37:00,2020-12-11 02:51:08,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
,2015-10-27 10:01:55,2020-12-11 02:51:09,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
no,2019-03-07 03:45:46,2020-12-11 02:54:28,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
SpOwOmien,2018-02-18 20:39:32,2020-12-11 02:54:36,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
,2019-02-08 21:26:22,2020-12-11 02:54:46,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
,2013-06-28 05:18:12,2020-12-11 02:54:49,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
,2019-02-14 08:53:14,2020-12-11 02:54:51,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
"Houston, TX",2009-05-22 06:27:31,2020-12-11 02:55:04,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
,2016-10-17 16:00:05,2020-12-11 02:55:23,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,2019-08-17 01:46:09,2020-12-11 02:55:39,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
,2014-09-17 18:38:24,2020-12-11 02:55:57,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
,2014-09-17 18:38:24,2020-12-11 02:56:03,RT @discord: here are some beautiful photos of said tesla to go along with these legal terms: https://t.co/F95kM095GN https://t.co/zYjbF4xa…,positive
,2020-09-26 09:03:38,2020-12-11 02:56:23,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
althio#0001,2019-11-06 17:00:30,2020-12-11 02:56:28,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
,2019-10-15 06:28:25,2020-12-11 02:56:39,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
,2013-03-22 19:24:16,2020-12-11 02:56:41,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
CA,2012-08-13 13:26:07,2020-12-11 02:57:08,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
,2010-07-04 07:52:57,2020-12-11 02:57:19,"RT @discord: ok this year's snowsgiving giveaway we’re giving away a car… ahahah 

RT + like for a chance to win BLURPLE TESLA (kids fun-si…",positive
